Yaw,Speed,rpm,Pedal,RTmean_x,RTstd_x,ERmean,ERstd,AEstd,OEstd,EEstd,totalSteps,wellnessTotalKilocalories,wellnessActiveKilocalories,Yaw_Std,Speed_Std,rpm_Std,Steering_Std,Pedal_Std,a_Std,deepSleepSeconds_std,lightSleepSeconds_std,remSleepSeconds_std,awakeSleepSeconds_std,TotalSleepTime_std
1.59469,11.81629097,1166.046133,19.26726667,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,2.22e-16,13.30128954,476.7128127,0.0,22.43035283,1.740189695,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.57547751,7.018082267,949.0967333,3.451866667,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.024374397,7.31038083,293.7477563,0.238307613,7.524199122,1.431480078,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.581984703,9.449121067,875.2433,4.6281,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.028093322,4.416711706,316.0448717,0.455544967,7.859080217,0.749932784,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.581908803,8.912828367,1149.6646,7.091233333,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.088379643,4.409507925,313.3725408,0.703681551,7.829191205,0.951774138,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.537530393,6.4021083,868.9519333,2.979466667,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.068656467,3.704403706,255.5884091,0.821125636,5.991367959,0.646475634,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.554265313,9.994918533,981.9843,4.9602,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.023203823,3.664997201,314.0519803,0.177414431,8.648882115,0.592762056,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.758492033,10.87818077,1178.701267,6.5845,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.10288148,2.422336246,266.4204269,0.276455957,8.83355018,0.671873959,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.45575996,12.713554,1085.733467,5.736766667,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.200498149,1.674225215,377.5388291,0.572226487,7.349852856,0.411509317,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
2.132977997,5.033235333,922.5177333,4.478733333,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.180479225,5.366410363,289.0023056,0.594299177,8.043340817,0.894777985,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
2.280420558,0.927908558,674.576507625,5.59,0.361795,0.055585,0.884780000840141,0.478091,0.191371,0.280815,0.33670350000000004,16713.0,3717.0,129.0,0.011407136,0.483522727,0.153415459,0.449080818,1.538019152,0.012684536,6.686049607797647,8.065259085371755,5.827212513711699,5.357208884583815,7.952463591202958
1.572280197,18.21889007,1146.2103,19.969,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.023620034,11.30024335,343.6116574,0.251064468,20.96788011,1.481908594,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.566531243,16.6359557,1006.3191,6.547133333,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.0315944,10.48998705,314.6740407,0.163160764,10.53016148,1.170297375,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.5601013,13.1845994,1069.792733,10.29156667,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.043578837,8.142247817,294.5966369,0.231548494,15.7579352,1.237546885,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.57054112,7.323829867,825.3373,0.094833333,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.009395451,9.653918976,247.420795,0.104762002,1.025199045,0.772281247,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.56187986,11.83890413,1060.769967,8.0312,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.030785764,4.637439901,321.5779712,0.295530797,9.904665326,0.849068265,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.572499593,15.16607707,995.4859,6.2302,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.035340185,6.648133394,173.5006854,0.459692529,9.531517686,1.019719884,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.560062333,13.68924087,998.5648667,5.963033333,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.027495823,4.440680734,280.7712757,0.459657928,8.607462178,0.604090191,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.583392217,11.32257363,1303.6238,7.661333333,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.048838002,2.02264485,228.4876969,0.335014976,8.400318211,0.621016782,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.559273147,12.21790267,868.6655667,5.388366667,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.036809069,6.527159187,279.8066014,0.640708124,7.871951881,0.904096797,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.534082845,1.235616338,674.576507625,0.0,0.360415,0.077624,1.0,0.0,0.133059,0.139901,0.139173,11694.0,2319.0,72.0,0.007659075,1.362932159,65.70569832,0.284837515,0.0,0.107430181,7.741241978131461,7.661903805212704,6.901776821968457,7.4969948573385885,8.243187501174654
1.58142805,14.37568953,1208.929167,20.9854,0.330893,0.076603,1.0,0.0,0.328142,0.162425,0.164603,34200.0,5532.0,336.0,0.026289392,11.20289497,585.2229571999999,0.199123074,30.661248056250002,2.05849695225,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.569380367,9.463325133,788.7302667,4.018,0.330893,0.076603,1.0,0.0,0.328142,0.162425,0.164603,34200.0,5532.0,336.0,0.034868824,6.965903596,291.7625979,0.416416211,9.881893513,0.865782871,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.589477057,11.34070567,1187.512733,8.4192,0.330893,0.076603,1.0,0.0,0.328142,0.162425,0.164603,34200.0,5532.0,336.0,0.04751461,4.944189582,298.3853989,0.339523203,10.81252952,0.665176954,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.56198866,19.30279353,1236.250033,18.66983333,0.330893,0.076603,1.0,0.0,0.328142,0.162425,0.164603,34200.0,5532.0,336.0,0.016116397,10.29589376,495.6095552,0.073714076,24.22036338,1.334618921,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
